id,time,valume,price
1,1.000000,1.000000,7516.10000
2,1.000000,1.000000,7514.90000
3,1.000000,1.000000,7514.90000
4,1.000000,1.000000,7516.10000
5,1.000000,1.000000,7514.90000
6,2.000000,1.000000,7514.90000
7,2.000000,1.000000,7514.90000
8,2.000000,1.000000,7516.10000
9,3.000000,1.000000,7514.90000
10,3.000000,1.000000,7516.10000
11,3.000000,1.000000,7514.90000
12,4.000000,1.000000,7514.90000
13,4.000000,1.000000,7515.10000
14,4.000000,1.000000,7516.10000
15,5.000000,1.000000,7514.90000
16,5.000000,1.000000,7516.10000
17,5.000000,1.000000,7514.90000
18,5.000000,1.000000,7514.10000
19,5.000000,1.000000,7501.10000
20,5.000000,1.000000,7516.10000
21,5.000000,1.000000,7515.10000
22,6.000000,1.000000,7510.10000
23,6.000000,1.000000,7516.10000
24,6.000000,1.000000,7512.10000
25,7.000000,1.000000,7515.10000
26,7.000000,1.000000,7506.10000
27,7.000000,1.000000,7511.10000
28,7.000000,1.000000,7503.10000
29,8.000000,1.000000,7511.10000
30,8.000000,1.000000,7500.10000
31,8.000000,1.000000,7491.10000
32,8.000000,1.000000,7488.10000
33,8.000000,1.000000,7516.10000
34,8.000000,1.000000,7488.10000
35,9.000000,1.000000,7515.10000
36,9.000000,1.000000,7516.10000
37,10.000000,1.000000,7506.10000
38,10.000000,1.000000,7509.10000
39,10.000000,1.000000,7494.10000
40,10.000000,1.000000,7488.10000
41,12.000000,1.000000,7516.10000
42,12.000000,1.000000,7513.10000
43,12.000000,1.000000,7510.10000
44,12.000000,1.000000,7509.10000
45,12.000000,1.000000,7492.10000
46,12.000000,1.000000,7485.10000
47,13.000000,1.000000,7501.90000
48,13.000000,1.000000,7512.90000
49,14.000000,1.000000,7515.90000
50,14.000000,1.000000,7516.90000
51,14.000000,1.000000,7517.10000
52,14.000000,1.000000,7517.10000
53,15.000000,1.000000,7497.90000
54,15.000000,1.000000,7518.90000
55,15.000000,1.000000,7519.90000
56,15.000000,1.000000,7493.90000
57,15.000000,1.000000,7488.90000
58,16.000000,1.000000,7487.90000
59,16.000000,1.000000,7483.10000
60,16.000000,1.000000,7483.10000
61,17.000000,1.000000,7510.90000
62,18.000000,1.000000,7501.10000
63,19.000000,1.000000,7496.10000
64,19.000000,1.000000,7496.10000
65,19.000000,1.000000,7495.10000
66,20.000000,1.000000,7509.10000
67,20.000000,1.000000,7505.10000
68,21.000000,1.000000,7514.10000
69,21.000000,1.000000,7515.10000
70,22.000000,1.000000,7524.10000
71,22.000000,1.000000,7524.10000
72,22.000000,1.000000,7525.10000
73,22.000000,1.000000,7525.10000
74,23.000000,1.000000,7526.90000
75,23.000000,1.000000,7527.10000
76,23.000000,1.000000,7528.10000
77,23.000000,1.000000,7528.90000
78,23.000000,1.000000,7521.10000
79,24.000000,1.000000,7532.10000
80,24.000000,1.000000,7521.10000
81,24.000000,1.000000,7510.10000
82,25.000000,1.000000,7532.10000
83,25.000000,1.000000,7515.10000
84,25.000000,1.000000,7535.10000
85,25.000000,1.000000,7507.10000
86,25.000000,1.000000,7494.10000
87,26.000000,1.000000,7493.10000
88,26.000000,1.000000,7490.10000
89,26.000000,1.000000,7491.10000
90,26.000000,1.000000,7508.10000
91,26.000000,1.000000,7498.10000
92,26.000000,1.000000,7489.10000
93,27.000000,1.000000,7492.10000
94,27.000000,1.000000,7484.10000
95,27.000000,1.000000,7507.10000
96,27.000000,1.000000,7535.10000
97,28.000000,1.000000,7535.90000
98,28.000000,1.000000,7531.10000
99,29.000000,1.000000,7535.90000
100,29.000000,1.000000,7527.90000
101,29.000000,1.000000,7535.90000
102,30.000000,1.000000,7534.90000
103,30.000000,1.000000,7538.90000
104,30.000000,1.000000,7506.90000
105,32.000000,1.000000,7518.10000
106,32.000000,1.000000,7539.10000
107,33.000000,1.000000,7534.10000
108,33.000000,1.000000,7533.10000
109,33.000000,1.000000,7539.10000
110,34.000000,1.000000,7517.10000
111,34.000000,1.000000,7540.10000
112,34.000000,1.000000,7496.90000
113,35.000000,1.000000,7491.10000
114,35.000000,1.000000,7522.10000
115,36.000000,1.000000,7488.10000
116,36.000000,1.000000,7484.10000
117,37.000000,1.000000,7533.10000
118,37.000000,1.000000,7540.10000
119,37.000000,1.000000,7542.10000
120,37.000000,1.000000,7523.10000
121,38.000000,1.000000,7543.10000
122,38.000000,1.000000,7527.10000
123,38.000000,1.000000,7489.10000
124,39.000000,1.000000,7489.10000
125,39.000000,1.000000,7525.10000
126,40.000000,1.000000,7517.10000
127,41.000000,1.000000,7482.10000
128,41.000000,1.000000,7482.10000
129,41.000000,1.000000,7515.10000
130,41.000000,1.000000,7526.10000
131,41.000000,1.000000,7480.10000
132,41.000000,1.000000,7534.10000
133,42.000000,1.000000,7510.10000
134,42.000000,1.000000,7539.10000
135,43.000000,1.000000,7516.10000
136,43.000000,1.000000,7543.10000
137,43.000000,1.000000,7543.90000
138,43.000000,1.000000,7543.10000
139,43.000000,1.000000,7504.10000
140,43.000000,1.000000,7544.10000
141,43.000000,1.000000,7544.10000
142,44.000000,1.000000,7544.10000
143,44.000000,1.000000,7544.90000
144,44.000000,1.000000,7545.10000
145,44.000000,1.000000,7507.10000
146,44.000000,1.000000,7497.10000
147,45.000000,1.000000,7545.10000
148,45.000000,1.000000,7495.10000
149,45.000000,1.000000,7489.90000
150,45.000000,1.000000,7545.90000
151,45.000000,1.000000,7545.90000
152,45.000000,1.000000,7546.10000
153,45.000000,1.000000,7546.10000
154,46.000000,1.000000,7510.90000
155,46.000000,1.000000,7547.10000
