id,time,valume,price
1,3.590000,20000.000000,9.40000
2,3.740000,2700.000000,9.41000
3,3.850000,5000.000000,9.40000
4,3.860000,900.000000,9.41000
5,4.510000,1100.000000,9.41000
6,4.510000,7900.000000,9.40000
7,5.070000,100.000000,9.40000
8,5.320000,600.000000,9.41000
9,5.470000,200.000000,9.41000
10,6.000000,1200.000000,9.41000
11,6.000000,400.000000,9.40000
12,6.020000,1700.000000,9.40000
13,6.670000,300.000000,9.40000
14,7.500000,2100.000000,9.40000
15,7.580000,100.000000,9.40000
16,7.650000,4600.000000,9.42000
17,9.170000,100.000000,9.42000
18,10.590000,2300.000000,9.41000
19,10.590000,200.000000,9.41000
20,12.150000,1000.000000,9.41000
21,12.150000,100.000000,9.41000
22,12.150000,100.000000,9.41000
23,12.150000,100.000000,9.41000
24,12.150000,200.000000,9.41000
25,12.150000,200.000000,9.41000
26,12.150000,800.000000,9.41000
27,12.150000,3000.000000,9.41000
28,12.180000,100.000000,9.41000
29,12.180000,100.000000,9.41000
30,12.180000,2300.000000,9.40000
31,12.520000,200.000000,9.41000
32,13.060000,2800.000000,9.41000
33,13.060000,2000.000000,9.41000
34,14.310000,3800.000000,9.41000
35,14.900000,4100.000000,9.40000
36,15.150000,1500.000000,9.41000
37,16.170000,500.000000,9.41000
38,16.500000,1700.000000,9.40000
39,17.170000,1600.000000,9.40000
40,17.180000,1600.000000,9.40000
41,17.670000,2500.000000,9.40000
42,17.890000,2500.000000,9.40000
43,18.900000,1600.000000,9.40000
44,19.150000,2100.000000,9.41000
45,19.150000,9500.000000,9.41000
46,20.280000,300.000000,9.41000
47,20.600000,400.000000,9.41000
48,20.600000,200.000000,9.41000
49,20.600000,200.000000,9.41000
50,20.740000,1000.000000,9.41000
51,21.130000,100.000000,9.40000
52,22.140000,1700.000000,9.40000
53,22.300000,74500.000000,9.40000
54,22.300000,20000.000000,9.40000
55,22.300000,3000.000000,9.40000
56,22.300000,1000.000000,9.40000
57,22.300000,400.000000,9.40000
58,22.300000,13000.000000,9.40000
59,22.300000,300.000000,9.40000
60,22.300000,2900.000000,9.40000
61,22.300000,500.000000,9.40000
62,22.300000,1200.000000,9.40000
63,22.300000,2000.000000,9.40000
64,22.300000,3400.000000,9.40000
65,22.300000,200.000000,9.40000
66,22.300000,200.000000,9.40000
67,22.300000,22200.000000,9.40000
68,22.300000,500.000000,9.40000
69,22.300000,8100.000000,9.40000
70,22.300000,6100.000000,9.40000
71,22.300000,1000.000000,9.40000
72,22.300000,400.000000,9.40000
73,22.300000,800.000000,9.40000
74,22.300000,100.000000,9.40000
75,22.300000,300.000000,9.40000
76,22.300000,600.000000,9.40000
77,22.300000,100.000000,9.40000
78,22.300000,100.000000,9.40000
79,22.300000,500.000000,9.40000
80,22.300000,700.000000,9.40000
81,22.300000,500.000000,9.40000
82,22.300000,100.000000,9.40000
83,22.300000,100.000000,9.40000
84,22.300000,100.000000,9.40000
85,22.300000,100.000000,9.40000
86,22.300000,11500.000000,9.40000
87,22.300000,500.000000,9.40000
88,22.300000,800.000000,9.40000
89,22.300000,100.000000,9.40000
90,22.300000,100.000000,9.40000
91,22.300000,11500.000000,9.40000
92,22.300000,2000.000000,9.40000
93,22.300000,3000.000000,9.40000
94,22.300000,300.000000,9.40000
95,22.300000,25300.000000,9.40000
96,22.870000,16400.000000,9.39000
97,23.130000,100.000000,9.39000
98,23.220000,400.000000,9.40000
99,23.230000,300.000000,9.40000
100,23.280000,200.000000,9.40000
101,23.590000,200.000000,9.39000
102,24.110000,1500.000000,9.40000
103,25.650000,12800.000000,9.39000
104,26.280000,3200.000000,9.40000
105,28.290000,2100.000000,9.39000
106,28.310000,10000.000000,9.39000
107,29.750000,1500.000000,9.40000
108,29.960000,1500.000000,9.39000
109,30.200000,200.000000,9.40000
110,30.290000,72400.000000,9.39000
111,30.570000,5100.000000,9.40000
112,31.450000,1000.000000,9.39000
113,33.850000,100.000000,9.39000
114,34.490000,1700.000000,9.39000
115,34.610000,200.000000,9.39000
116,34.960000,500.000000,9.39000
117,36.110000,1700.000000,9.39000
118,36.380000,10000.000000,9.39000
119,36.830000,4100.000000,9.39000
120,37.420000,500.000000,9.40000
121,38.070000,8200.000000,9.39000
122,38.670000,800.000000,9.40000
123,39.490000,600.000000,9.40000
124,40.930000,2300.000000,9.39000
125,41.330000,300.000000,9.40000
126,41.640000,38200.000000,9.40000
127,42.390000,2000.000000,9.40000
128,42.940000,10000.000000,9.39000
129,43.190000,1700.000000,9.39000
130,43.250000,40400.000000,9.39000
131,43.360000,600.000000,9.40000
132,43.820000,200.000000,9.39000
133,44.270000,10000.000000,9.39000
134,44.490000,3400.000000,9.40000
135,44.490000,100.000000,9.40000
136,44.490000,1200.000000,9.40000
137,44.870000,500.000000,9.39000
138,45.590000,200.000000,9.39000
139,46.420000,8200.000000,9.40000
140,46.510000,400.000000,9.40000
141,47.070000,500.000000,9.40000
142,47.940000,2600.000000,9.40000
143,47.940000,400.000000,9.40000
144,50.350000,1000.000000,9.39000
145,51.260000,3000.000000,9.39000
146,51.460000,2300.000000,9.39000
147,52.050000,700.000000,9.40000
148,52.050000,1300.000000,9.40000
149,52.230000,1003.000000,9.40000
150,52.230000,100.000000,9.40000
151,52.230000,197.000000,9.40000
152,52.300000,1000.000000,9.39000
153,53.460000,1700.000000,9.39000
154,53.520000,5000.000000,9.40000
155,53.580000,10000.000000,9.39000
156,53.960000,1700.000000,9.39000
157,54.120000,5000.000000,9.39000
158,56.000000,3103.000000,9.40000
159,56.000000,100.000000,9.40000
